demo_group_num,year,accountabilitymet,change,color,changelevel,statuslevel,currstatus,currnumer,currdenom,cds,indicator,studentgroup_pct,county_code
1,25,0,3.8,0,2,1,50,10,20,30103060000000,absent,,30
1,25,0,3.8,0,2,1,50,10,20,30103060000000,absent,,30
1,25,0,3.8,0,2,1,50,10,20,30103060000000,absent,,30
2,25,0,,0,0,0,,,1,30103060000000,absent,,30
2,25,0,,0,0,0,,,1,30103060000000,absent,,30
2,25,0,,0,0,0,,,1,30103060000000,absent,,30
21,25,1,-0.3,1,3,1,38.1,125,328,30103060000000,absent,,30
21,25,1,-0.3,1,3,1,38.1,125,328,30103060000000,absent,,30
21,25,1,-0.3,1,3,1,38.1,125,328,30103060000000,absent,,30
3,25,0,20.2,0,2,1,28.6,8,28,30103060000000,absent,,30
3,25,0,20.2,0,2,1,28.6,8,28,30103060000000,absent,,30
3,25,0,20.2,0,2,1,28.6,8,28,30103060000000,absent,,30
18,25,1,-3.9,2,4,1,49.2,29,59,30103060000000,absent,,30
18,25,1,-3.9,2,4,1,49.2,29,59,30103060000000,absent,,30
18,25,1,-3.9,2,4,1,49.2,29,59,30103060000000,absent,,30
4,25,0,,0,0,0,,,7,30103060000000,absent,,30
4,25,0,,0,0,0,,,7,30103060000000,absent,,30
4,25,0,,0,0,0,,,7,30103060000000,absent,,30
11,25,1,21.2,1,2,1,43.8,21,48,30103060000000,absent,,30
11,25,1,21.2,1,2,1,43.8,21,48,30103060000000,absent,,30
11,25,1,21.2,1,2,1,43.8,21,48,30103060000000,absent,,30
5,25,1,-2.2,2,4,1,43.6,88,202,30103060000000,absent,,30
5,25,1,-2.2,2,4,1,43.6,88,202,30103060000000,absent,,30
5,25,1,-2.2,2,4,1,43.6,88,202,30103060000000,absent,,30
12,25,1,-9.3,2,4,1,58.7,27,46,30103060000000,absent,,30
12,25,1,-9.3,2,4,1,58.7,27,46,30103060000000,absent,,30
12,25,1,-9.3,2,4,1,58.7,27,46,30103060000000,absent,,30
14,25,1,-2.4,2,4,1,54.1,20,37,30103060000000,absent,,30
14,25,1,-2.4,2,4,1,54.1,20,37,30103060000000,absent,,30
14,25,1,-2.4,2,4,1,54.1,20,37,30103060000000,absent,,30
7,25,0,3.3,0,2,1,33.3,5,15,30103060000000,absent,,30
7,25,0,3.3,0,2,1,33.3,5,15,30103060000000,absent,,30
7,25,0,3.3,0,2,1,33.3,5,15,30103060000000,absent,,30
6,25,0,,0,0,0,,,2,30103060000000,absent,,30
6,25,0,,0,0,0,,,2,30103060000000,absent,,30
6,25,0,,0,0,0,,,2,30103060000000,absent,,30
9,25,1,0.5,1,2,1,46.6,116,249,30103060000000,absent,,30
9,25,1,0.5,1,2,1,46.6,116,249,30103060000000,absent,,30
9,25,1,0.5,1,2,1,46.6,116,249,30103060000000,absent,,30
10,25,1,18.2,1,2,1,50,24,48,30103060000000,absent,,30
10,25,1,18.2,1,2,1,50,24,48,30103060000000,absent,,30
10,25,1,18.2,1,2,1,50,24,48,30103060000000,absent,,30
8,25,1,-3.4,2,4,1,20.8,11,53,30103060000000,absent,,30
8,25,1,-3.4,2,4,1,20.8,11,53,30103060000000,absent,,30
8,25,1,-3.4,2,4,1,20.8,11,53,30103060000000,absent,,30
1,25,0,,0,0,0,,,2,30103060126037,absent,,30
1,25,0,,0,0,0,,,2,30103060126037,absent,,30
1,25,0,,0,0,0,,,2,30103060126037,absent,,30
21,25,1,-4,3,5,2,14.7,38,259,30103060126037,absent,,30
21,25,1,-4,3,5,2,14.7,38,259,30103060126037,absent,,30
21,25,1,-4,3,5,2,14.7,38,259,30103060126037,absent,,30
3,25,0,-10.8,0,4,4,5,1,20,30103060126037,absent,,30
3,25,0,-10.8,0,4,4,5,1,20,30103060126037,absent,,30
3,25,0,-10.8,0,4,4,5,1,20,30103060126037,absent,,30
18,25,1,-14,2,4,1,25,10,40,30103060126037,absent,,30
18,25,1,-14,2,4,1,25,10,40,30103060126037,absent,,30
18,25,1,-14,2,4,1,25,10,40,30103060126037,absent,,30
4,25,0,,0,0,0,,,1,30103060126037,absent,,30
4,25,0,,0,0,0,,,1,30103060126037,absent,,30
4,25,0,,0,0,0,,,1,30103060126037,absent,,30
11,25,0,,0,0,0,,,2,30103060126037,absent,,30
11,25,0,,0,0,0,,,2,30103060126037,absent,,30
11,25,0,,0,0,0,,,2,30103060126037,absent,,30
5,25,1,-2,3,4,2,15.6,34,218,30103060126037,absent,,30
5,25,1,-2,3,4,2,15.6,34,218,30103060126037,absent,,30
5,25,1,-2,3,4,2,15.6,34,218,30103060126037,absent,,30
12,25,0,,0,0,2,17.6,3,17,30103060126037,absent,,30
12,25,0,,0,0,2,17.6,3,17,30103060126037,absent,,30
12,25,0,,0,0,2,17.6,3,17,30103060126037,absent,,30
14,25,1,-11.2,2,4,1,26.3,10,38,30103060126037,absent,,30
14,25,1,-11.2,2,4,1,26.3,10,38,30103060126037,absent,,30
14,25,1,-11.2,2,4,1,26.3,10,38,30103060126037,absent,,30
7,25,0,,0,0,0,,,6,30103060126037,absent,,30
7,25,0,,0,0,0,,,6,30103060126037,absent,,30
7,25,0,,0,0,0,,,6,30103060126037,absent,,30
9,25,1,-4.4,3,5,2,16.5,33,200,30103060126037,absent,,30
9,25,1,-4.4,3,5,2,16.5,33,200,30103060126037,absent,,30
9,25,1,-4.4,3,5,2,16.5,33,200,30103060126037,absent,,30
10,25,0,7.1,0,2,1,21.4,6,28,30103060126037,absent,,30
10,25,0,7.1,0,2,1,21.4,6,28,30103060126037,absent,,30
