Academic Year,Aggregate Level,County Code,District Code,School Code,County Name,District Name,School Name,Charter School,DASS,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate
2024-25,C,30,,,Orange,"","",All,All,GF,211858,30638,14.5
2024-25,C,30,,,Orange,"","",All,All,GM,226719,32032,14.1
2024-25,C,30,,,Orange,"","",All,All,GR13,86631,9223,10.6
2024-25,C,30,,,Orange,"","",All,All,GR46,94928,9424,9.9
2024-25,C,30,,,Orange,"","",All,All,GR78,67246,8995,13.4
2024-25,C,30,,,Orange,"","",All,All,GR912,149351,27910,18.7
2024-25,C,30,,,Orange,"","",All,All,GRTK8,289610,34879,12.0
2024-25,C,30,,,Orange,"","",All,All,GRTKKN,40805,7237,17.7
2024-25,C,30,,,Orange,"","",All,All,GX,384,119,31.0
2024-25,C,30,,,Orange,"","",All,All,RA,82567,4469,5.4
2024-25,C,30,,,Orange,"","",All,All,RB,6117,1385,22.6
2024-25,C,30,,,Orange,"","",All,All,RD,5434,926,17.0
2024-25,C,30,,,Orange,"","",All,All,RF,8879,661,7.4
2024-25,C,30,,,Orange,"","",All,All,RH,214890,40825,19.0
2024-25,C,30,,,Orange,"","",All,All,RI,887,190,21.4
2024-25,C,30,,,Orange,"","",All,All,RP,1362,353,25.9
2024-25,C,30,,,Orange,"","",All,All,RT,23041,2243,9.7
2024-25,C,30,,,Orange,"","",All,All,RW,95784,11737,12.3
2024-25,C,30,,,Orange,"","",All,All,SD,65409,15136,23.1
2024-25,C,30,,,Orange,"","",All,All,SE,82691,15379,18.6
2024-25,C,30,,,Orange,"","",All,All,SF,2460,906,36.8
2024-25,C,30,,,Orange,"","",All,All,SH,32312,8568,26.5
2024-25,C,30,,,Orange,"","",All,All,SM,393,83,21.1
2024-25,C,30,,,Orange,"","",All,All,SS,253287,47955,18.9
2024-25,C,30,,,Orange,"","",All,All,TA,438961,62789,14.3
2024-25,C,30,,,Orange,"","",No,All,GF,198141,28679,14.5
2024-25,C,30,,,Orange,"","",No,All,GM,213019,30048,14.1
2024-25,C,30,,,Orange,"","",No,All,GR13,81320,8689,10.7
2024-25,C,30,,,Orange,"","",No,All,GR46,89939,8872,9.9
2024-25,C,30,,,Orange,"","",No,All,GR78,60214,8152,13.5
2024-25,C,30,,,Orange,"","",No,All,GR912,141847,26229,18.5
2024-25,C,30,,,Orange,"","",No,All,GRTK8,269611,32587,12.1
2024-25,C,30,,,Orange,"","",No,All,GRTKKN,38138,6874,18.0
2024-25,C,30,,,Orange,"","",No,All,GX,298,89,29.9
2024-25,C,30,,,Orange,"","",No,All,RA,79101,4290,5.4
2024-25,C,30,,,Orange,"","",No,All,RB,4968,1128,22.7
2024-25,C,30,,,Orange,"","",No,All,RD,4982,845,17.0
2024-25,C,30,,,Orange,"","",No,All,RF,8422,633,7.5
2024-25,C,30,,,Orange,"","",No,All,RH,201967,38498,19.1
2024-25,C,30,,,Orange,"","",No,All,RI,801,174,21.7
2024-25,C,30,,,Orange,"","",No,All,RP,1250,313,25.0
2024-25,C,30,,,Orange,"","",No,All,RT,21014,2014,9.6
2024-25,C,30,,,Orange,"","",No,All,RW,88953,10921,12.3
2024-25,C,30,,,Orange,"","",No,All,SD,61570,14307,23.2
2024-25,C,30,,,Orange,"","",No,All,SE,79234,14707,18.6
2024-25,C,30,,,Orange,"","",No,All,SF,2329,850,36.5
2024-25,C,30,,,Orange,"","",No,All,SH,31207,8242,26.4
2024-25,C,30,,,Orange,"","",No,All,SM,392,83,21.2
2024-25,C,30,,,Orange,"","",No,All,SS,239188,45126,18.9
2024-25,C,30,,,Orange,"","",No,All,TA,411458,58816,14.3
2024-25,C,30,,,Orange,"","",Yes,All,GF,14109,2113,15.0
2024-25,C,30,,,Orange,"","",Yes,All,GM,14128,2158,15.3
2024-25,C,30,,,Orange,"","",Yes,All,GR13,5445,568,10.4
2024-25,C,30,,,Orange,"","",Yes,All,GR46,5112,584,11.4
2024-25,C,30,,,Orange,"","",Yes,All,GR78,7207,916,12.7
2024-25,C,30,,,Orange,"","",Yes,All,GR912,7845,1853,23.6
2024-25,C,30,,,Orange,"","",Yes,All,GRTK8,20481,2449,12.0
2024-25,C,30,,,Orange,"","",Yes,All,GRTKKN,2717,381,14.0
2024-25,C,30,,,Orange,"","",Yes,All,GX,89,31,34.8
2024-25,C,30,,,Orange,"","",Yes,All,RA,3553,193,5.4
2024-25,C,30,,,Orange,"","",Yes,All,RB,1167,268,23.0
2024-25,C,30,,,Orange,"","",Yes,All,RD,480,86,17.9
2024-25,C,30,,,Orange,"","",Yes,All,RF,464,31,6.7
2024-25,C,30,,,Orange,"","",Yes,All,RH,13404,2547,19.0
2024-25,C,30,,,Orange,"","",Yes,All,RI,86,17,19.8
2024-25,C,30,,,Orange,"","",Yes,All,RP,113,41,36.3
2024-25,C,30,,,Orange,"","",Yes,All,RT,2045,232,11.3
2024-25,C,30,,,Orange,"","",Yes,All,RW,7014,887,12.6
2024-25,C,30,,,Orange,"","",Yes,All,SD,4012,907,22.6
2024-25,C,30,,,Orange,"","",Yes,All,SE,3651,755,20.7
2024-25,C,30,,,Orange,"","",Yes,All,SF,153,67,43.8
2024-25,C,30,,,Orange,"","",Yes,All,SH,1226,380,31.0
2024-25,C,30,,,Orange,"","",Yes,All,SM,*,*,*
2024-25,C,30,,,Orange,"","",Yes,All,SS,14694,3098,21.1
2024-25,C,30,,,Orange,"","",Yes,All,TA,28326,4302,15.2
2024-25,C,30,,,Orange,"","",All,No,GF,209108,28823,13.8
2024-25,C,30,,,Orange,"","",All,No,GM,222913,29760,13.4
2024-25,C,30,,,Orange,"","",All,No,GR13,86527,9193,10.6
2024-25,C,30,,,Orange,"","",All,No,GR46,94806,9399,9.9
2024-25,C,30,,,Orange,"","",All,No,GR78,67062,8915,13.3
2024-25,C,30,,,Orange,"","",All,No,GR912,143213,23951,16.7
2024-25,C,30,,,Orange,"","",All,No,GRTK8,289164,34731,12.0
2024-25,C,30,,,Orange,"","",All,No,GRTKKN,40769,7224,17.7
2024-25,C,30,,,Orange,"","",All,No,GX,356,99,27.8
2024-25,C,30,,,Orange,"","",All,No,RA,82258,4352,5.3
2024-25,C,30,,,Orange,"","",All,No,RB,5954,1291,21.7
2024-25,C,30,,,Orange,"","",All,No,RD,5320,872,16.4
2024-25,C,30,,,Orange,"","",All,No,RF,8819,630,7.1
2024-25,C,30,,,Orange,"","",All,No,RH,210007,37559,17.9
2024-25,C,30,,,Orange,"","",All,No,RI,858,173,20.2
2024-25,C,30,,,Orange,"","",All,No,RP,1332,338,25.4
2024-25,C,30,,,Orange,"","",All,No,RT,22903,2169,9.5
2024-25,C,30,,,Orange,"","",All,No,RW,94926,11298,11.9
2024-25,C,30,,,Orange,"","",All,No,SD,63483,14112,22.2
2024-25,C,30,,,Orange,"","",All,No,SE,80825,14066,17.4
2024-25,C,30,,,Orange,"","",All,No,SF,2269,786,34.6
2024-25,C,30,,,Orange,"","",All,No,SH,31134,7659,24.6
2024-25,C,30,,,Orange,"","",All,No,SM,380,73,19.2
2024-25,C,30,,,Orange,"","",All,No,SS,247866,44370,17.9
2024-25,C,30,,,Orange,"","",All,No,TA,432377,58682,13.6
2024-25,C,30,,,Orange,"","",No,No,GF,195729,27044,13.8
2024-25,C,30,,,Orange,"","",No,No,GM,209560,27965,13.3
2024-25,C,30,,,Orange,"","",No,No,GR13,81216,8659,10.7
2024-25,C,30,,,Orange,"","",No,No,GR46,89816,8847,9.9
2024-25,C,30,,,Orange,"","",No,No,GR78,60028,8070,13.4
2024-25,C,30,,,Orange,"","",No,No,GR912,136405,22645,16.6
2024-25,C,30,,,Orange,"","",No,No,GRTK8,269162,32437,12.1
2024-25,C,30,,,Orange,"","",No,No,GRTKKN,38102,6861,18.0
2024-25,C,30,,,Orange,"","",No,No,GX,278,73,26.3
2024-25,C,30,,,Orange,"","",No,No,RA,78801,4175,5.3
2024-25,C,30,,,Orange,"","",No,No,RB,4822,1044,21.7
2024-25,C,30,,,Orange,"","",No,No,RD,4891,800,16.4
2024-25,C,30,,,Orange,"","",No,No,RF,8366,604,7.2
2024-25,C,30,,,Orange,"","",No,No,RH,197552,35516,18.0
2024-25,C,30,,,Orange,"","",No,No,RI,776,160,20.6
2024-25,C,30,,,Orange,"","",No,No,RP,1224,298,24.3
2024-25,C,30,,,Orange,"","",No,No,RT,20900,1950,9.3
2024-25,C,30,,,Orange,"","",No,No,RW,88235,10535,11.9
2024-25,C,30,,,Orange,"","",No,No,SD,59766,13349,22.3
2024-25,C,30,,,Orange,"","",No,No,SE,77497,13483,17.4
2024-25,C,30,,,Orange,"","",No,No,SF,2149,736,34.2
2024-25,C,30,,,Orange,"","",No,No,SH,30102,7403,24.6
2024-25,C,30,,,Orange,"","",No,No,SM,379,73,19.3
2024-25,C,30,,,Orange,"","",No,No,SS,234325,41875,17.9
2024-25,C,30,,,Orange,"","",No,No,TA,405567,55082,13.6
2024-25,C,30,,,Orange,"","",Yes,No,GF,13690,1887,13.8
2024-25,C,30,,,Orange,"","",Yes,No,GM,13683,1918,14.0
2024-25,C,30,,,Orange,"","",Yes,No,GR13,5445,568,10.4
2024-25,C,30,,,Orange,"","",Yes,No,GR46,5112,584,11.4
2024-25,C,30,,,Orange,"","",Yes,No,GR78,7203,915,12.7
2024-25,C,30,,,Orange,"","",Yes,No,GR912,6974,1382,19.8
2024-25,C,30,,,Orange,"","",Yes,No,GRTK8,20477,2448,12.0
2024-25,C,30,,,Orange,"","",Yes,No,GRTKKN,2717,381,14.0
2024-25,C,30,,,Orange,"","",Yes,No,GX,78,25,32.1
2024-25,C,30,,,Orange,"","",Yes,No,RA,3535,188,5.3
2024-25,C,30,,,Orange,"","",Yes,No,RB,1147,257,22.4
2024-25,C,30,,,Orange,"","",Yes,No,RD,451,76,16.9
2024-25,C,30,,,Orange,"","",Yes,No,RF,460,29,6.3
2024-25,C,30,,,Orange,"","",Yes,No,RH,12821,2196,17.1
2024-25,C,30,,,Orange,"","",Yes,No,RI,82,14,17.1
2024-25,C,30,,,Orange,"","",Yes,No,RP,108,40,37.0
2024-25,C,30,,,Orange,"","",Yes,No,RT,2013,218,10.8
2024-25,C,30,,,Orange,"","",Yes,No,RW,6834,812,11.9
2024-25,C,30,,,Orange,"","",Yes,No,SD,3840,810,21.1
2024-25,C,30,,,Orange,"","",Yes,No,SE,3484,642,18.4
2024-25,C,30,,,Orange,"","",Yes,No,SF,135,57,42.2
2024-25,C,30,,,Orange,"","",Yes,No,SH,1122,294,26.2
2024-25,C,30,,,Orange,"","",Yes,No,SM,*,*,*
2024-25,C,30,,,Orange,"","",Yes,No,SS,13989,2680,19.2
2024-25,C,30,,,Orange,"","",Yes,No,TA,27451,3830,14.0
2024-25,C,30,,,Orange,"","",All,Yes,GF,3755,2431,64.7
2024-25,C,30,,,Orange,"","",All,Yes,GM,5283,3010,57.0
2024-25,C,30,,,Orange,"","",All,Yes,GR13,125,39,31.2
2024-25,C,30,,,Orange,"","",All,Yes,GR46,144,35,24.3
2024-25,C,30,,,Orange,"","",All,Yes,GR78,300,151,50.3
2024-25,C,30,,,Orange,"","",All,Yes,GR912,8466,5225,61.7
2024-25,C,30,,,Orange,"","",All,Yes,GRTK8,611,241,39.4
2024-25,C,30,,,Orange,"","",All,Yes,GRTKKN,42,16,38.1
2024-25,C,30,,,Orange,"","",All,Yes,GX,39,25,64.1
2024-25,C,30,,,Orange,"","",All,Yes,RA,401,162,40.4
2024-25,C,30,,,Orange,"","",All,Yes,RB,212,122,57.5
2024-25,C,30,,,Orange,"","",All,Yes,RD,147,71,48.3
2024-25,C,30,,,Orange,"","",All,Yes,RF,76,41,53.9
2024-25,C,30,,,Orange,"","",All,Yes,RH,6861,4332,63.1
2024-25,C,30,,,Orange,"","",All,Yes,RI,38,23,60.5
2024-25,C,30,,,Orange,"","",All,Yes,RP,40,22,55.0
2024-25,C,30,,,Orange,"","",All,Yes,RT,183,101,55.2
2024-25,C,30,,,Orange,"","",All,Yes,RW,1119,592,52.9
2024-25,C,30,,,Orange,"","",All,Yes,SD,2395,1302,54.4
2024-25,C,30,,,Orange,"","",All,Yes,SE,2711,1765,65.1
2024-25,C,30,,,Orange,"","",All,Yes,SF,290,172,59.3
2024-25,C,30,,,Orange,"","",All,Yes,SH,1748,1264,72.3
2024-25,C,30,,,Orange,"","",All,Yes,SM,18,12,66.7
2024-25,C,30,,,Orange,"","",All,Yes,SS,7670,4806,62.7
2024-25,C,30,,,Orange,"","",All,Yes,TA,9077,5466,60.2
2024-25,C,30,,,Orange,"","",No,Yes,GF,3352,2218,66.2
2024-25,C,30,,,Orange,"","",No,Yes,GM,4867,2785,57.2
2024-25,C,30,,,Orange,"","",No,Yes,GR13,125,39,31.2
2024-25,C,30,,,Orange,"","",No,Yes,GR46,144,35,24.3
2024-25,C,30,,,Orange,"","",No,Yes,GR78,296,150,50.7
2024-25,C,30,,,Orange,"","",No,Yes,GR912,7642,4784,62.6
2024-25,C,30,,,Orange,"","",No,Yes,GRTK8,607,240,39.5
2024-25,C,30,,,Orange,"","",No,Yes,GRTKKN,42,16,38.1
2024-25,C,30,,,Orange,"","",No,Yes,GX,30,21,70.0
2024-25,C,30,,,Orange,"","",No,Yes,RA,384,157,40.9
2024-25,C,30,,,Orange,"","",No,Yes,RB,192,111,57.8
2024-25,C,30,,,Orange,"","",No,Yes,RD,118,59,50.0
2024-25,C,30,,,Orange,"","",No,Yes,RF,72,39,54.2
2024-25,C,30,,,Orange,"","",No,Yes,RH,6317,4007,63.4
2024-25,C,30,,,Orange,"","",No,Yes,RI,34,20,58.8
2024-25,C,30,,,Orange,"","",No,Yes,RP,35,21,60.0
2024-25,C,30,,,Orange,"","",No,Yes,RT,153,87,56.9
2024-25,C,30,,,Orange,"","",No,Yes,RW,944,523,55.4
2024-25,C,30,,,Orange,"","",No,Yes,SD,2234,1212,54.3
2024-25,C,30,,,Orange,"","",No,Yes,SE,2558,1662,65.0
2024-25,C,30,,,Orange,"","",No,Yes,SF,273,163,59.7
2024-25,C,30,,,Orange,"","",No,Yes,SH,1660,1189,71.6
2024-25,C,30,,,Orange,"","",No,Yes,SM,18,12,66.7
2024-25,C,30,,,Orange,"","",No,Yes,SS,7010,4417,63.0
2024-25,C,30,,,Orange,"","",No,Yes,TA,8249,5024,60.9
2024-25,C,30,,,Orange,"","",Yes,Yes,GF,421,226,53.7
2024-25,C,30,,,Orange,"","",Yes,Yes,GM,448,241,53.8
2024-25,C,30,,,Orange,"","",Yes,Yes,GR78,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,GR912,876,472,53.9
2024-25,C,30,,,Orange,"","",Yes,Yes,GRTK8,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,GX,11,6,54.5
2024-25,C,30,,,Orange,"","",Yes,Yes,RA,18,5,27.8
2024-25,C,30,,,Orange,"","",Yes,Yes,RB,21,11,52.4
2024-25,C,30,,,Orange,"","",Yes,Yes,RD,29,10,34.5
2024-25,C,30,,,Orange,"","",Yes,Yes,RF,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RH,585,352,60.2
2024-25,C,30,,,Orange,"","",Yes,Yes,RI,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RP,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RT,32,14,43.8
2024-25,C,30,,,Orange,"","",Yes,Yes,RW,182,75,41.2
2024-25,C,30,,,Orange,"","",Yes,Yes,SD,172,97,56.4
2024-25,C,30,,,Orange,"","",Yes,Yes,SE,168,113,67.3
2024-25,C,30,,,Orange,"","",Yes,Yes,SF,18,10,55.6
2024-25,C,30,,,Orange,"","",Yes,Yes,SH,105,86,81.9
2024-25,C,30,,,Orange,"","",Yes,Yes,SS,708,418,59.0
2024-25,C,30,,,Orange,"","",Yes,Yes,TA,880,473,53.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GF,7684,1528,19.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GM,8322,1729,20.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GR13,2486,197,7.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GR46,2334,196,8.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GR78,2790,354,12.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GR912,7077,2378,33.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GRTK8,8984,901,10.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GRTKKN,1374,154,11.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,GX,55,22,40.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RA,2325,176,7.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RB,461,100,21.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RD,409,101,24.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RF,250,25,10.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RH,8154,2298,28.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RI,48,14,29.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RP,93,38,40.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RT,917,102,11.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RW,3404,425,12.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SD,2419,627,25.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SE,2535,792,31.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SF,260,115,44.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SH,1001,451,45.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SS,8902,2586,29.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,TA,16061,3279,20.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GF,1234,615,49.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GM,2065,907,43.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GR13,113,28,24.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GR46,126,28,22.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GR78,228,110,48.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GR912,2807,1349,48.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GRTK8,506,179,35.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GRTKKN,39,13,33.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,GX,14,6,42.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RA,163,56,34.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RB,108,45,41.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RD,97,42,43.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RF,23,9,39.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RH,2393,1162,48.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RI,19,8,42.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RP,18,9,50.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RT,65,29,44.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,RW,427,168,39.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,SD,839,312,37.2
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,SE,883,449,50.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,SF,192,88,45.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,SH,510,323,63.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,SS,2721,1316,48.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,No,All,TA,3313,1528,46.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GF,6462,921,14.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GM,6287,834,13.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GR13,2373,169,7.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GR46,2208,168,7.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GR78,2564,245,9.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GR912,4311,1049,24.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GRTK8,8480,723,8.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GRTKKN,1335,141,10.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,GX,42,17,40.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RA,2163,120,5.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RB,354,55,15.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RD,311,58,18.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RF,227,16,7.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RH,5791,1150,19.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RI,29,6,20.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RP,75,29,38.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RT,854,73,8.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,RW,2987,265,8.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,SD,1587,319,20.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,SE,1665,352,21.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,SF,71,29,40.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,SH,501,133,26.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,SS,6222,1290,20.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,All,TA,12791,1772,13.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GF,6177,728,11.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GM,5970,637,10.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GR13,2373,169,7.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GR46,2208,168,7.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GR78,2564,245,9.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GR912,3706,656,17.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GRTK8,8480,723,8.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GRTKKN,1335,141,10.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GX,39,14,35.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RA,2159,117,5.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RB,337,47,13.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RD,301,51,16.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RF,226,16,7.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RH,5300,828,15.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RI,25,3,12.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RP,70,28,40.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RT,840,66,7.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RW,2928,223,7.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SD,1467,245,16.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SE,1519,249,16.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SF,55,19,34.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SH,420,62,14.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SS,5683,933,16.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,TA,12186,1379,11.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GF,6177,728,11.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GM,5970,637,10.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GR13,2373,169,7.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GR46,2208,168,7.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GR78,2564,245,9.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GR912,3706,656,17.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GRTK8,8480,723,8.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GRTKKN,1335,141,10.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,GX,39,14,35.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RA,2159,117,5.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RB,337,47,13.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RD,300,50,16.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RF,226,16,7.1
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RH,5298,827,15.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RI,25,3,12.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RP,70,28,40.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RT,841,66,7.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,RW,2930,225,7.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,SD,1467,245,16.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,SE,1519,249,16.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,SF,55,19,34.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,SH,420,62,14.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,Yes,No,SS,5683,933,16.4
