AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,DASS,ReportingCategory,CohortStudents,Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate),Met UC/CSU Grad Req's (Count),Met UC/CSU Grad Req's (Rate),Seal of Biliteracy (Count),Seal of Biliteracy (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Graduates Meeting Local Requirements Exemption (Count),Graduates Meeting Local Requirements Exemption (Rate),CPP Completer (Count),CPP Completer (Rate),Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),SPED Certificate (Count),SPED Certificate (Rate),GED Completer (Count),GED Completer (Rate),Other Transfer (Count),Other Transfer (Rate),Dropout (Count),Dropout (Rate),Still Enrolled (Count),Still Enrolled (Rate)
2024-25,C,30,,,Orange,"","",All,All,GF,18469,17441,94.4,11222,64.3,4964,28.5,7413,42.5,271,1.6,49,0.3,1,0.0,132,0.7,24,0.1,45,0.2,626,3.4,151,0.8
2024-25,C,30,,,Orange,"","",All,All,GM,20102,18396,91.5,9999,54.4,3373,18.3,6818,37.1,390,2.1,61,0.3,3,0.0,300,1.5,48,0.2,93,0.5,997,5.0,204,1.0
2024-25,C,30,,,Orange,"","",All,All,GX,122,96,78.7,39,40.6,12,12.5,32,33.3,0,0.0,0,0.0,0,0.0,2,1.6,0,0.0,2,1.6,17,13.9,5,4.1
2024-25,C,30,,,Orange,"","",All,All,RA,7183,6824,95.0,5669,83.1,2482,36.4,4769,69.9,11,0.2,52,0.7,0,0.0,90,1.3,16,0.2,10,0.1,177,2.5,14,0.2
2024-25,C,30,,,Orange,"","",All,All,RB,578,510,88.2,243,47.6,47,9.2,100,19.6,10,2.0,1,0.2,0,0.0,5,0.9,1,0.2,5,0.9,48,8.3,8,1.4
2024-25,C,30,,,Orange,"","",All,All,RD,323,263,81.4,150,57.0,41,15.6,110,41.8,6,2.3,1,0.3,0,0.0,8,2.5,3,0.9,2,0.6,33,10.2,13,4.0
2024-25,C,30,,,Orange,"","",All,All,RF,823,796,96.7,601,75.5,164,20.6,454,57.0,6,0.8,0,0.0,0,0.0,14,1.7,0,0.0,0,0.0,10,1.2,3,0.4
2024-25,C,30,,,Orange,"","",All,All,RH,19035,17403,91.4,7910,45.5,3764,21.6,4123,23.7,567,3.3,13,0.1,1,0.0,230,1.2,20,0.1,89,0.5,1015,5.3,264,1.4
2024-25,C,30,,,Orange,"","",All,All,RI,89,82,92.1,33,40.2,14,17.1,18,22.0,2,2.4,0,0.0,0,0.0,0,0.0,0,0.0,1,1.1,2,2.2,4,4.5
2024-25,C,30,,,Orange,"","",All,All,RP,122,114,93.4,57,50.0,13,11.4,30,26.3,3,2.6,0,0.0,0,0.0,1,0.8,0,0.0,1,0.8,6,4.9,0,0.0
2024-25,C,30,,,Orange,"","",All,All,RT,1599,1511,94.5,1040,68.8,322,21.3,802,53.1,9,0.6,3,0.2,0,0.0,11,0.7,2,0.1,4,0.3,61,3.8,7,0.4
2024-25,C,30,,,Orange,"","",All,All,RW,8941,8430,94.3,5557,65.9,1502,17.8,3857,45.8,47,0.6,40,0.4,3,0.0,75,0.8,30,0.3,28,0.3,288,3.2,47,0.5
2024-25,C,30,,,Orange,"","",All,All,SD,4880,3912,80.2,806,20.6,130,3.3,476,12.2,124,3.2,4,0.1,1,0.0,434,8.9,11,0.2,20,0.4,397,8.1,101,2.1
2024-25,C,30,,,Orange,"","",All,All,SE,6970,5954,85.4,1700,28.6,647,10.9,815,13.7,324,5.4,3,0.0,1,0.0,130,1.9,7,0.1,62,0.9,695,10.0,118,1.7
2024-25,C,30,,,Orange,"","",All,All,SF,348,254,73.0,56,22.0,20,7.9,23,9.1,50,19.7,0,0.0,0,0.0,9,2.6,0,0.0,1,0.3,66,19.0,18,5.2
2024-25,C,30,,,Orange,"","",All,All,SH,4123,3466,84.1,1057,30.5,531,15.3,597,17.2,417,12.0,3,0.1,0,0.0,48,1.2,4,0.1,27,0.7,457,11.1,118,2.9
2024-25,C,30,,,Orange,"","",All,All,SM,45,36,80.0,15,41.7,8,22.2,9,25.0,8,22.2,0,0.0,0,0.0,1,2.2,0,0.0,0,0.0,7,15.6,1,2.2
2024-25,C,30,,,Orange,"","",All,All,SS,26322,24075,91.5,12034,50.0,5012,20.8,7232,30.0,639,2.7,66,0.3,2,0.0,333,1.3,45,0.2,125,0.5,1341,5.1,335,1.3
2024-25,C,30,,,Orange,"","",All,All,TA,38693,35933,92.9,21260,59.2,8349,23.2,14263,39.7,661,1.8,110,0.3,4,0.0,434,1.1,72,0.2,140,0.4,1640,4.2,360,0.9
2024-25,C,30,,,Orange,"","",All,No,GF,17225,16593,96.3,11195,67.5,4959,29.9,7408,44.6,69,0.4,49,0.3,0,0.0,121,0.7,18,0.1,25,0.1,400,2.3,19,0.1
2024-25,C,30,,,Orange,"","",All,No,GM,18396,17348,94.3,9977,57.5,3368,19.4,6815,39.3,100,0.6,60,0.3,1,0.0,277,1.5,38,0.2,49,0.3,594,3.2,29,0.2
2024-25,C,30,,,Orange,"","",All,No,GX,99,85,85.9,38,44.7,10,11.8,32,37.6,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,12,12.1,0,0.0
2024-25,C,30,,,Orange,"","",All,No,RA,7100,6776,95.4,5663,83.6,2482,36.6,4769,70.4,4,0.1,52,0.7,0,0.0,86,1.2,16,0.2,9,0.1,156,2.2,5,0.1
2024-25,C,30,,,Orange,"","",All,No,RB,500,466,93.2,243,52.1,47,10.1,100,21.5,6,1.3,1,0.2,0,0.0,4,0.8,0,0.0,2,0.4,27,5.4,0,0.0
2024-25,C,30,,,Orange,"","",All,No,RD,265,241,90.9,150,62.2,41,17.0,110,45.6,0,0.0,1,0.4,0,0.0,7,2.6,1,0.4,0,0.0,11,4.2,4,1.5
2024-25,C,30,,,Orange,"","",All,No,RF,805,786,97.6,601,76.5,164,20.9,454,57.8,4,0.5,0,0.0,0,0.0,10,1.2,0,0.0,0,0.0,9,1.1,0,0.0
2024-25,C,30,,,Orange,"","",All,No,RH,16779,15931,94.9,7894,49.6,3752,23.6,4117,25.8,132,0.8,13,0.1,0,0.0,216,1.3,8,0.0,48,0.3,534,3.2,29,0.2
2024-25,C,30,,,Orange,"","",All,No,RI,72,69,95.8,33,47.8,14,20.3,18,26.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4,2,2.8,0,0.0
2024-25,C,30,,,Orange,"","",All,No,RP,111,105,94.6,57,54.3,13,12.4,30,28.6,1,1.0,0,0.0,0,0.0,1,0.9,0,0.0,1,0.9,4,3.6,0,0.0
2024-25,C,30,,,Orange,"","",All,No,RT,1532,1465,95.6,1034,70.6,322,22.0,802,54.7,6,0.4,3,0.2,0,0.0,10,0.7,2,0.1,2,0.1,49,3.2,1,0.1
2024-25,C,30,,,Orange,"","",All,No,RW,8556,8187,95.7,5535,67.6,1502,18.3,3855,47.1,16,0.2,39,0.5,1,0.0,66,0.8,29,0.3,11,0.1,214,2.5,9,0.1
2024-25,C,30,,,Orange,"","",All,No,SD,4248,3552,83.6,804,22.6,127,3.6,476,13.4,29,0.8,4,0.1,0,0.0,400,9.4,6,0.1,11,0.3,256,6.0,19,0.4
2024-25,C,30,,,Orange,"","",All,No,SE,5895,5270,89.4,1699,32.2,646,12.3,814,15.4,103,2.0,3,0.1,1,0.0,120,2.0,4,0.1,39,0.7,428,7.3,30,0.5
2024-25,C,30,,,Orange,"","",All,No,SF,232,192,82.8,56,29.2,20,10.4,22,11.5,12,6.3,0,0.0,0,0.0,9,3.9,0,0.0,0,0.0,30,12.9,1,0.4
2024-25,C,30,,,Orange,"","",All,No,SH,3144,2870,91.3,1054,36.7,529,18.4,597,20.8,105,3.7,2,0.1,0,0.0,46,1.5,2,0.1,15,0.5,191,6.1,18,0.6
2024-25,C,30,,,Orange,"","",All,No,SM,34,29,85.3,15,51.7,8,27.6,9,31.0,2,6.9,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0,4,11.8,0,0.0
2024-25,C,30,,,Orange,"","",All,No,SS,23578,22325,94.7,12007,53.8,5000,22.4,7225,32.4,159,0.7,65,0.3,1,0.0,303,1.3,30,0.1,63,0.3,749,3.2,42,0.2
2024-25,C,30,,,Orange,"","",All,No,TA,35720,34026,95.3,21210,62.3,8337,24.5,14255,41.9,169,0.5,109,0.3,1,0.0,400,1.1,56,0.2,74,0.2,1006,2.8,48,0.1
2024-25,C,30,,,Orange,"","",All,Yes,GF,1244,848,68.2,27,3.2,5,0.6,5,0.6,202,23.8,0,0.0,1,0.1,11,0.9,6,0.5,20,1.6,226,18.2,132,10.6
2024-25,C,30,,,Orange,"","",All,Yes,GM,1706,1048,61.4,22,2.1,5,0.5,3,0.3,290,27.7,1,0.1,2,0.1,23,1.3,10,0.6,44,2.6,403,23.6,175,10.3
2024-25,C,30,,,Orange,"","",All,Yes,GX,23,11,47.8,1,9.1,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,5,21.7,5,21.7
2024-25,C,30,,,Orange,"","",All,Yes,RA,83,48,57.8,6,12.5,0,0.0,0,0.0,7,14.6,0,0.0,0,0.0,4,4.8,0,0.0,1,1.2,21,25.3,9,10.8
2024-25,C,30,,,Orange,"","",All,Yes,RB,78,44,56.4,0,0.0,0,0.0,0,0.0,4,9.1,0,0.0,0,0.0,1,1.3,1,1.3,3,3.8,21,26.9,8,10.3
2024-25,C,30,,,Orange,"","",All,Yes,RD,58,22,37.9,0,0.0,0,0.0,0,0.0,6,27.3,0,0.0,0,0.0,1,1.7,2,3.4,2,3.4,22,37.9,9,15.5
2024-25,C,30,,,Orange,"","",All,Yes,RF,18,10,55.6,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,0,0.0,4,22.2,0,0.0,0,0.0,1,5.6,3,16.7
2024-25,C,30,,,Orange,"","",All,Yes,RH,2256,1472,65.2,16,1.1,12,0.8,6,0.4,435,29.6,0,0.0,1,0.0,14,0.6,12,0.5,41,1.8,481,21.3,235,10.4
2024-25,C,30,,,Orange,"","",All,Yes,RI,17,13,76.5,0,0.0,0,0.0,0,0.0,2,15.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,23.5
2024-25,C,30,,,Orange,"","",All,Yes,RP,11,9,81.8,0,0.0,0,0.0,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0
2024-25,C,30,,,Orange,"","",All,Yes,RT,67,46,68.7,6,13.0,0,0.0,0,0.0,3,6.5,0,0.0,0,0.0,1,1.5,0,0.0,2,3.0,12,17.9,6,9.0
2024-25,C,30,,,Orange,"","",All,Yes,RW,385,243,63.1,22,9.1,0,0.0,2,0.8,31,12.8,1,0.3,2,0.5,9,2.3,1,0.3,17,4.4,74,19.2,38,9.9
