cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30103060126037,Orange,Orange County Department of Education,Samueli Academy,52,4,19,0.0769230769230769,4,30,10306,0126037,,
30103060126037,Orange,Orange County Department of Education,Samueli Academy,54,8,20,0.148148148148148,4,30,10306,0126037,,
30103060126037,Orange,Orange County Department of Education,Samueli Academy,107,0,21,0,4,30,10306,0126037,,
30103060126037,Orange,Orange County Department of Education,Samueli Academy,112,14,25,0.125,4,30,10306,0126037,1,0
30103060132613,Orange,Orange County Department of Education,Vista Heritage Global Academy,111,24,19,0.216216216216216,4,30,10306,0132613,,
30103060132613,Orange,Orange County Department of Education,Vista Heritage Global Academy,124,2,20,0.0161290322580645,4,30,10306,0132613,,
30103060132613,Orange,Orange County Department of Education,Vista Heritage Global Academy,133,0,21,0,4,30,10306,0132613,,
30103060132613,Orange,Orange County Department of Education,Vista Heritage Global Academy,161,0,25,0,4,30,10306,0132613,1,0
30103060132910,Orange,Orange County Department of Education,College and Career Preparatory Academy,92,0,19,0,4,30,10306,0132910,,
30103060132910,Orange,Orange County Department of Education,College and Career Preparatory Academy,98,1,20,0.0102040816326531,4,30,10306,0132910,,
30103060132910,Orange,Orange County Department of Education,College and Career Preparatory Academy,38,2,21,0.0526315789473684,4,30,10306,0132910,,
30103060132910,Orange,Orange County Department of Education,College and Career Preparatory Academy,87,1,25,0.0114942528735632,4,30,10306,0132910,1,1
30103060133785,Orange,Orange County Department of Education,Oxford Preparatory Academy - Saddleback Valley,31,0,19,0,4,30,10306,0133785,,
30103060133785,Orange,Orange County Department of Education,Oxford Preparatory Academy - Saddleback Valley,31,20,20,0.645161290322581,4,30,10306,0133785,,
30103060133785,Orange,Orange County Department of Education,Oxford Preparatory Academy - Saddleback Valley,51,6,21,0.117647058823529,4,30,10306,0133785,,
30103060133785,Orange,Orange County Department of Education,Oxford Preparatory Academy - Saddleback Valley,57,12,25,0.210526315789474,4,30,10306,0133785,1,0
30103060133959,Orange,Orange County Department of Education,Unity Middle College High,13,0,19,0,4,30,10306,0133959,,
30103060133959,Orange,Orange County Department of Education,Unity Middle College High,15,4,20,0.266666666666667,4,30,10306,0133959,,
30103060133959,Orange,Orange County Department of Education,Unity Middle College High,20,0,21,0,4,30,10306,0133959,,
30103060133959,Orange,Orange County Department of Education,Unity Middle College High,10,1,25,0.1,4,30,10306,0133959,1,0
30103060133983,Orange,Orange County Department of Education,Ednovate - Legacy College Prep.,59,12,19,0.203389830508475,4,30,10306,0133983,,
30103060133983,Orange,Orange County Department of Education,Ednovate - Legacy College Prep.,67,5,20,0.0746268656716418,4,30,10306,0133983,,
30103060133983,Orange,Orange County Department of Education,Ednovate - Legacy College Prep.,100,0,21,0,4,30,10306,0133983,,
30103060133983,Orange,Orange County Department of Education,Ednovate - Legacy College Prep.,94,46,25,0.48936170212766,4,30,10306,0133983,1,0
30103060134056,Orange,Orange County Department of Education,Orange County Academy of Sciences and Arts,15,0,19,0,4,30,10306,0134056,,
30103060134056,Orange,Orange County Department of Education,Orange County Academy of Sciences and Arts,23,0,20,0,4,30,10306,0134056,,
30103060134056,Orange,Orange County Department of Education,Orange County Academy of Sciences and Arts,21,0,21,0,4,30,10306,0134056,,
30103060134056,Orange,Orange County Department of Education,Orange County Academy of Sciences and Arts,7,2,25,0.285714285714286,4,30,10306,0134056,1,0
30103060134239,Orange,Orange County Department of Education,EPIC Charter (Excellence Performance Innovation Ci,35,1,19,0.0285714285714286,4,30,10306,0134239,,
30103060134239,Orange,Orange County Department of Education,EPIC Charter (Excellence Performance Innovation Ci,19,8,20,0.421052631578947,4,30,10306,0134239,,
30103060134239,Orange,Orange County Department of Education,EPIC Charter (Excellence Performance Innovation Ci,28,2,21,0.0714285714285714,4,30,10306,0134239,,
30103060134239,Orange,Orange County Department of Education,Epic California Academy,44,10,25,0.227272727272727,4,30,10306,0134239,1,0
30103060134288,Orange,Orange County Department of Education,Scholarship Prep Charter,148,61,19,0.412162162162162,4,30,10306,0134288,,
30103060134288,Orange,Orange County Department of Education,Scholarship Prep,163,4,20,0.0245398773006135,4,30,10306,0134288,,
30103060134288,Orange,Orange County Department of Education,Scholarship Prep,185,16,21,0.0864864864864865,4,30,10306,0134288,,
30103060134288,Orange,Orange County Department of Education,Scholarship Prep - Orange County,263,21,25,0.0798479087452472,4,30,10306,0134288,1,0
30103060134841,Orange,Orange County Department of Education,Orange County Workforce Innovation High,40,8,19,0.2,4,30,10306,0134841,,
30103060134841,Orange,Orange County Department of Education,Orange County Workforce Innovation High,51,8,20,0.156862745098039,4,30,10306,0134841,,
30103060134841,Orange,Orange County Department of Education,Orange County Workforce Innovation High,57,4,21,0.0701754385964912,4,30,10306,0134841,,
30103060134841,Orange,Orange County Department of Education,Orange County Workforce Innovation High,65,6,25,0.0923076923076923,4,30,10306,0134841,1,1
30103060134940,Orange,Orange County Department of Education,Citrus Springs Charter,66,0,19,0,4,30,10306,0134940,,
30103060134940,Orange,Orange County Department of Education,Citrus Springs Charter,55,7,20,0.127272727272727,4,30,10306,0134940,,
30103060134940,Orange,Orange County Department of Education,Citrus Springs Charter,52,4,21,0.0769230769230769,4,30,10306,0134940,,
30103060134940,Orange,Orange County Department of Education,Citrus Springs Charter,32,4,25,0.125,4,30,10306,0134940,1,0
30103060137000,Orange,Orange County Department of Education,Vista Condor Global Academy,67,0,19,0,4,30,10306,0137000,,
30103060137000,Orange,Orange County Department of Education,Vista Condor Global Academy,85,17,20,0.2,4,30,10306,0137000,,
30103060137000,Orange,Orange County Department of Education,Vista Condor Global Academy,90,0,21,0,4,30,10306,0137000,,
30103060137000,Orange,Orange County Department of Education,Vista Condor Global Academy,186,11,25,0.0591397849462366,4,30,10306,0137000,1,0
30103060137976,Orange,Orange County Department of Education,Tomorrow's Leadership Collaborative (TLC) Charter,11,0,19,0,4,30,10306,0137976,,
