AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,C,30,,,Orange,"","",All,GF,214011,2802,2161,59,1.0,322,1525,74,722,60,99
2024-25,C,30,,,Orange,"","",All,GM,229273,8610,5814,165,2.5,922,5351,342,1379,194,422
2024-25,C,30,,,Orange,"","",All,GX,397,9,8,0,2.0,0,5,2,2,0,0
2024-25,C,30,,,Orange,"","",All,RA,83228,758,595,15,0.7,85,514,29,74,16,40
2024-25,C,30,,,Orange,"","",All,RB,6348,353,228,2,3.6,43,247,14,28,4,17
2024-25,C,30,,,Orange,"","",All,RD,5581,165,106,2,1.9,27,113,5,14,2,4
2024-25,C,30,,,Orange,"","",All,RF,8932,75,59,1,0.7,7,53,2,9,1,3
2024-25,C,30,,,Orange,"","",All,RH,217228,7820,5465,173,2.5,829,4447,307,1691,198,348
2024-25,C,30,,,Orange,"","",All,RI,928,26,21,0,2.3,5,15,0,4,0,2
2024-25,C,30,,,Orange,"","",All,RP,1397,50,27,0,1.9,10,27,2,8,0,3
2024-25,C,30,,,Orange,"","",All,RT,23234,365,260,4,1.1,38,243,14,47,4,19
2024-25,C,30,,,Orange,"","",All,RW,96805,1809,1222,27,1.3,200,1222,45,228,29,85
2024-25,C,30,,,Orange,"","",All,SD,66578,4041,2400,69,3.6,490,2654,117,532,83,165
2024-25,C,30,,,Orange,"","",All,SE,83789,3845,2588,93,3.1,370,2246,165,786,108,170
2024-25,C,30,,,Orange,"","",All,SF,2576,372,213,4,8.3,64,230,13,50,4,11
2024-25,C,30,,,Orange,"","",All,SH,32828,1818,1159,52,3.5,203,1047,73,366,62,67
